voter,name,votes,first_vote,latest_vote,avg_weight,num_delegated,percentage_delegated,num_dao_votes,total_gitcoin_donations,dex_trades_l60d,nft_mints_l60d,nfts_sold_l60d,nfts_bought_l60d,num_proposals,voting_frequency_ratio
0x2f0aaa56d5025ae8348aac27be32683c7ca616ec,newcryptospace.eth,18,2023-02-12,2024-01-19,9.91,0.2196642866368181,0.0,7,0.0,0,8,1,1,0,0.0001004541918148
0x232832f88e98e4680a12c03d12ef1fda22ed7122,arrijalufr.eth,18,2023-02-14,2023-11-06,42.38,7.733495503708975,0.0,0,0.0,15,35,0,0,0,6.85971991883255e-05
0xc1609f118919711924b930cd859775ffe58cb010,discknucin.eth,18,2023-02-12,2023-10-23,3.26,0.0371780125107592,0.0,0,0.0,15,4,0,1,0,5.60020596863759e-05
0x33a9fd87cae5303f4db8b7f58001a06d0bb7fa56,<nil>,18,2023-04-29,2024-03-04,1.15,1.2473048,0.0,0,0.0,0,3,0,0,0,8.240922438476849e-05
0x98d27eca341d913ffd720ef4d66f735c9bfcf9c2,<nil>,18,2023-02-16,2023-12-06,2.13,0.0,0.0,0,0.0,0,0,0,0,0,0.0001069035423511
0xe3726d3a05b8cc4fea2336562f261d607f117de6,cryptoenthusiast007.eth,18,2023-03-26,2023-11-25,8.58,1.7211335270102612,0.0,0,0.0,1,29,0,1,0,5.253824969011967e-05
0x3ac3331786f0b853759d53e37f57dcf86d800a39,vladpro.eth,18,2023-03-26,2023-11-27,1.21,1.2376363943430797,0.0,0,0.0,2,87,0,0,0,5.253824969011967e-05
0x31d9d8c23b690ba102604debbff9b08a5a5bc27c,<nil>,18,2023-02-18,2023-10-21,4.42,5.057062104045529,0.0,0,0.0,0,0,0,0,0,6.145358855480545e-05
0x632ca72f7ff664a3379af31a9302c05d0141a5d0,<nil>,18,2023-02-16,2023-12-05,0.24,0.0,0.0,0,0.0,0,0,0,0,0,0.0001069035423511
0x257cdafed2d4fec6c992091602967df52c11bf86,<nil>,18,2023-02-13,2024-04-15,0.65,0.9724734442246552,0.0,0,0.0,0,7,0,0,0,0.0001209019948847
0x3f1d23927ce046cc4a98a9142056a356ec8d3e6c,tabed.eth,18,2023-03-25,2024-03-04,29.45,110.06601088540911,1.1944224640588e-06,0,0.0,10,1,0,0,0,0.0001187234935582
0x15faa5b7eb078b86f31b6b31d0e81c65eaecdcb0,<nil>,18,2023-02-14,2023-10-18,3.02,0.0,0.0,0,0.0,6,1,0,0,0,6.145358855480545e-05
0x119269b73fa41eeabdae2e7c4b354f2286daa8ea,<nil>,18,2023-05-19,2023-11-26,0.68,0.8262780330791641,0.0,0,0.0,3,0,0,0,0,0.0001086317012224
0x4b3595e2bd02f6fd3adf2f47e3f62217b15f3cd1,<nil>,18,2023-02-12,2023-11-27,4.76,0.0,0.0,0,0.0,3,2,0,1,0,5.100637706312215e-05
0x930df074acf694238bdf6e1c947e1c5442d5f019,dasal77.eth,18,2023-02-15,2023-10-23,22.58,0.0,0.0,0,2.7895629466250016,2,54,0,2,0,5.656569425310719e-05
0xbeebcbcc5e396fe93a3db596bacc59a4f983f1ac,<nil>,18,2023-02-16,2023-12-05,2.41,0.0,0.0,0,0.0,0,0,0,0,0,0.0001069035423511
0xbcce8e5bb2389e7c231f6fd0b550af29f3c87bca,voivo.eth,18,2023-04-30,2024-01-21,0.0,0.0,0.0,9,20.7520049625,0,6,0,0,0,0.0001158281505748
0x79a36e05e6f0eded21c0dc2d6b78fb8e9a93e863,tammy-walk.eth,17,2023-02-13,2023-10-24,23.96,0.2211480865761065,0.0,0,0.0,2,11,0,0,0,5.059064114095721e-05
0xf5038e7278ac7e6174ef5f5091366a457f9671c0,<nil>,17,2023-02-13,2023-10-23,8.62,0.0,0.0,0,22.51358054750001,0,6,0,0,0,5.357414448859792e-05
0xc34347ceb77bad6c17ee7a6b1bd85758f4e5ceec,godzilla2.eth,17,2023-02-14,2023-10-23,20.65,0.0,0.0,0,2.762496555,3,59,0,1,0,4.609951274378852e-05
0xa217064210b620fc11d798d1442385909690540d,<nil>,17,2023-05-19,2023-11-26,0.55,0.6293388111480973,0.0,0,0.0,2,0,0,1,0,0.0001034171212568
